,Logistic Regression,Decision Tree,Random Forest,LGBMClassifier,XGBoost simple,CatBoost,NeuralNet
detected bonus_mean,1646.0,2401.4,2310.8,2347.0,2363.0,2322.8,2173.6
detected bonus_max,1765,2655,2570,2530,2475,2515,2270
detected bonus_min,1545,2180,2005,2230,2235,2200,2025
detected bonus_var,2854.0,9507.04,16925.36,5966.0,4936.0,5490.160000000001,4969.04
fp penalty_mean,1122.0,1620.0,1528.4,877.6,885.6,796.8,983.2
fp penalty_max,1420,2550,1880,1010,1100,990,1280
fp penalty_min,900,1020,950,680,660,620,680
fp penalty_var,16320.0,76856.0,57989.44,10170.24,13120.64,10901.76,22093.76
Bewertung_mean,-3271.9559999999997,-1585.2903999999999,-1748.2232000000001,-1020.8503999999999,-982.7152000000001,-978.9127999999998,-1468.6252000000002
Bewertung_max,-2898.74,-965.78,-1366.7,-527.25,-487.4099999999999,-406.89,-1047.78
Bewertung_min,-3674.13,-1985.06,-2094.91,-1349.65,-1297.18,-1362.71,-1908.6399999999999
Bewertung_var,38411.19340799999,65783.79193183998,38782.59290976001,44012.920555840006,48039.95114496003,50055.222940160005,50080.83131296001
cm,"[[28561.6   112.2]
 [  526.4   329.2]]","[[28511.8    162.  ]
 [  375.32   480.28]]","[[28520.96   152.84]
 [  393.44   462.16]]","[[28586.04    87.76]
 [  386.2    469.4 ]]","[[28585.24    88.56]
 [  383.     472.6 ]]","[[28594.12    79.68]
 [  391.04   464.56]]","[[28575.48    98.32]
 [  420.88   434.72]]"
